SKU,SKU_DESCRIPTION,CATEGORY,SUB_CATEGORY,COLOR_NAME,COLLECTION,SIZE,PLANNING_CATEGORY,LAUNCH_YEAR_SEASON,LAUNCH_DATE,PLANNING_STATUS,ASSORTMENT_STATUS,FULL_PRICE_RETAIL,VENDOR_NAME,VENDOR_COST,VENDOR_COST_USD,ITEM_MOQS
D115007-01,Lafayette Planter - Medium - Terracotta,ACCENTS,VASES,TERRACOTTA,LAFAYETTE,,ACCENTS - PLANTERS & VASES,2022 FALL,2022-09-14 00:00:00.000,DISCONTINUED,ACTIVE - ON HAND/ON ORDER,399,Encrudo,145,145,
D140002-01,Hansa Vase - 5 inch - Matte Black,ACCENTS,VASES,MATTE BLACK,ASSORTED,,ACCENTS - PLANTERS & VASES,2022 HOLIDAY - LATE,2022-10-24 00:00:00.000,DISCONTINUED,ACTIVE - ON HAND/ON ORDER,69,Powered by People,9.5,9.5,
D62019-01,Faliza Vase,ACCENTS,VASES,,FALIZA,,ACCENTS - PLANTERS & VASES,2024 SUMMER,2024-08-11 00:00:00.000,ACTIVE,ACTIVE - ON HAND/ON ORDER,189,Alcantara (MAD),421.51,43.505769667,
B86007-17,Stonewashed Linen Duvet - Full/Queen - Camel,BEDDING,DUVETS,CAMEL,STONEWASHED LINEN,FULL/QUEEN,BEDDING - DUVETS,2021 SPRING BEDDING,2021-04-07 00:00:00.000,ARCHIVED,ARCHIVED,289,Sampedro (EUR),80.56,93.8097032,
P84057-01-C,Ayana Block Print Pillow - 18x18 - Turmeric - Cover,PILLOWS,SQUARE,TURMERIC,AYANA,"18"" x 18""",PILLOWS - ACCENT,2024 SPRING,,ARCHIVED,PD - CANCELLED,99,Gitto,9.2,9.2,
R00002-03,Felt & Rubber Rug Pad - 4x6 - Trimmed,RUGS,ACCESSORIES,BLACK,RUG PADS,4' x 6',RUGS - MISC,UNKNOWN,2020-01-01 00:00:00.000,ARCHIVED,ARCHIVED,59,Rug Pad USA,26.88,26.88,
T81001-01,Sema Bed Runner,BEDDING,BED BLANKETS,,,,BEDDING - BED BLANKETS,UNKNOWN,2020-01-01 00:00:00.000,ARCHIVED,ARCHIVED,,,,0,
P56038-02,Oleada Pillow,PILLOWS,SQUARE,,,,PILLOWS - ACCENT,UNKNOWN,2020-01-01 00:00:00.000,ARCHIVED,ARCHIVED,185,,,0,
R84002-01,Diya Accent Rug - 2x3 - Olive,RUGS,ACCENT,OLIVE,DIYA,2' x 3',RUGS - ACCENT,2020 FALL,2020-09-15 00:00:00.000,DISCONTINUED,DISCONTINUED - ON HAND,149,Vimla International,21.12,21.12,
P56063-01-C,Sueno Lumbar Pillow - 12x48 - Grey - Cover,PILLOWS,OVERSIZED LUMBARS,GREY,SUENO,"12"" x 48""",PILLOWS - OVERSIZED LUMBARS,2021 HOLIDAY,2021-10-20 00:00:00.000,ARCHIVED,ARCHIVED,279,Wayra,70,70,
00004556-001-KI-M-002-B1,Laurel Bed - Tall - KI-M-002 - HB,FURNITURE,BEDS,MAPLE,LAUREL,KING,FURNITURE - MTO,2023 SPRING,2023-03-14 00:00:00.000,ACTIVE,ACTIVE - ON HAND/ON ORDER,,Revive Furniture Inc.,965,965,
0118316-005-U-S-005,Vale Chair - Performance Canvas,FURNITURE,ACCENT CHAIRS,,VALE,,FURNITURE - MTO,2023 FALL,2023-09-12 00:00:00.000,ACTIVE,ACTIVE - ON HAND/ON ORDER,1799,"Vision Contract Manufacturing, LLC",583,583,
R120037-01,Aisha Hand Knotted Rug - 6x9 - Steel Blue,RUGS,AREA,STEEL BLUE,AISHA,6' x 9',RUGS - AREA + ROUND,2025 SPRING,2025-03-25 00:00:00.000,ACTIVE,ACTIVE - ON HAND/ON ORDER,1599,Master Weave Inc,744.67,744.67,
00004556-003-FL-W-004-B1,Ridge Bed - FL-W-004 - HB,FURNITURE,BEDS,WALNUT,RIDGE,FULL,FURNITURE - MTO,2024 SPRING,2024-01-30 00:00:00.000,ACTIVE,ACTIVE - ON HAND/ON ORDER,,Revive Furniture Inc.,1212,1212,
B121003-01,Organic Resort Cotton Sheet Set - King - White,BEDDING,SHEET SETS,WHITE,ORGANIC RESORT COTTON,KING,BEDDING - SHEETS ETC.,2020 TURKEY,2020-10-07 00:00:00.000,DISCONTINUED,DISCONTINUED - ON HAND,269,Veritas,100.81,100.81,
00004556-006-CK-S-005-B1,ALPINE BED - MEDIUM - CK-S-005 - HB,FURNITURE,BEDS,,ALPINE,CAL-KING,FURNITURE - MTO,2025 SPRING,,ACTIVE,ACTIVE - ON HAND/ON ORDER,,Revive Furniture Inc.,892,892,
00004556-003-FL-W-004-B3,Ridge Bed - FL-W-004 - SR/SL,FURNITURE,BEDS,WALNUT,RIDGE,FULL,FURNITURE - MTO,2024 SPRING,2024-01-30 00:00:00.000,ACTIVE,ACTIVE - ON HAND/ON ORDER,,Revive Furniture Inc.,355,355,
R112003-03,San Gil Accent Rug - 3x5 - Tobacco,RUGS,ACCENT,TOBACCO,SAN GIL,3' x 5',RUGS - ACCENT,2020 COLOMBIA,2020-02-17 00:00:00.000,ARCHIVED,ARCHIVED,299,Artesanias de Colombia,88.24,88.24,
B86021-05,Stonewashed Linen Quilt - Twin - Graphite Thin Stripe,BEDDING,QUILTS,GRAPHITE THIN STRIPE,STONEWASHED LINEN,TWIN,BEDDING - QUILTS ETC.,2022 JUNE,2022-06-01 00:00:00.000,DISCONTINUED,DISCONTINUED - ON HAND,259,Sampedro (EUR),76.49,89.0703103,
R93024-03,Amyra Area Rug - 8x10 - Grey,RUGS,AREA,GREY,AMYRA,8' x 10',RUGS - AREA + ROUND,2022 SPRING,2022-04-07 00:00:00.000,ACTIVE,ACTIVE - ON HAND/ON ORDER,1699,Qayyum,248.3,248.3,
D121014-01-Q2,Organic Plush Towels - 2 Bath Sheets - Charcoal,BATH,TOWEL : BATH SHEET,CHARCOAL,ORGANIC PLUSH,,BATH - TOWELS,2024 SPRING,,ARCHIVED,ARCHIVED,128,Veritas,45.84,45.84,
TP13001-01-Q4,Apasco Recycled Cocktail Glass - Clear - S/4,TABLEWARE,DRINKWARE,CLEAR,APASCO,,TABLEWARE,2016 MEXICO,2016-06-24 00:00:00.000,ARCHIVED,ARCHIVED,99,Xaquixe,32.4,32.4,
B86017-30,Stonewashed Linen Fitted Sheet - Full - Espresso,BEDDING,FITTED SHEETS,ESPRESSO,STONEWASHED LINEN,FULL,BEDDING - SHEETS ETC.,2024 FALL,2024-09-23 00:00:00.000,ACTIVE,ACTIVE - ON HAND/ON ORDER,139,Sampedro (EUR),38.95,45.3561065,
R161016-08,Atashi Hand-Knotted Area Rug - 10x14 - Stone Blue,RUGS,AREA,STONE BLUE,ATASHI,,RUGS - AREA + ROUND,2024 FALL,2024-09-24 00:00:00.000,DISCONTINUED,ACTIVE - ON HAND/ON ORDER,3199,RMC,700,700,
00004556-001-CK-M-002-B2,Laurel Bed - Tall - CK-M-002 - FB,FURNITURE,BEDS,MAPLE,LAUREL,CAL-KING,FURNITURE - MTO,2023 SPRING,2023-04-21 00:00:00.000,ACTIVE,ACTIVE - ON HAND/ON ORDER,,Revive Furniture Inc.,503,503,
B86007-03,Stonewashed Linen Duvet - Full/Queen - Blush,BEDDING,DUVETS,BLUSH,STONEWASHED LINEN,FULL/QUEEN,BEDDING - DUVETS,UNKNOWN,2020-01-01 00:00:00.000,ARCHIVED,ARCHIVED,184,Sampedro (EUR),79.98,93.1343106,
00004556-003-QU-W-001-B1,Ridge Bed - QU-W-001 - HB,FURNITURE,BEDS,WALNUT,RIDGE,QUEEN,FURNITURE - MTO,2023 SPRING,2023-03-14 00:00:00.000,ACTIVE,ACTIVE - ON HAND/ON ORDER,,Revive Furniture Inc.,1146,1146,
T58009-01-GW,Tesoro Alpaca Throw with Dust Bag,BLANKETS,THROWS : ALPACA,,,,BLANKETS - THROWS,UNKNOWN,2020-01-01 00:00:00.000,ARCHIVED,ARCHIVED,,,,0,
B86020-18,Stonewashed Linen Fitted Sheet - Cal-King - Sage,BEDDING,FITTED SHEETS,SAGE,STONEWASHED LINEN,CAL-KING,BEDDING - SHEETS ETC.,2021 SPRING BEDDING,2021-04-07 00:00:00.000,DISCONTINUED,DISCONTINUED - ON HAND,159,Sampedro (EUR),56.86,66.2117642,
R88038-05,Sanya Hand-Knotted Area Rug - 6x9 - Mustard,RUGS,AREA,MUSTARD,SANYA,6' x 9',RUGS - AREA + ROUND,2023 FALL,2023-09-12 00:00:00.000,DISCONTINUED,DISCONTINUED - ON HAND,1599,Loloi Rugs,540,540,
R126002-03,Ediz Area Rug - 8x10,RUGS,AREA,CREAM,EDIZ,8' x 10',RUGS - AREA + ROUND,2020 HOLIDAY,2020-10-23 00:00:00.000,DISCONTINUED,DISCONTINUED - ON HAND,3999,Kirkit Rugs,1520,1520,
